Filename_Crop,Original_Filename,True_Label,Predicted_Label,Status
ripe_ripe21_crop_0.jpg,ripe21,ripe,ripe,Correct
ripe_ripe3 (18)_crop_0.jpg,ripe3 (18),ripe,ripe,Correct
ripe_ripe3 (19)_crop_0.jpg,ripe3 (19),ripe,ripe,Correct
ripe_ripe3 (20)_crop_0.jpg,ripe3 (20),ripe,ripe,Correct
ripe_ripe4_crop_0.jpg,ripe4,ripe,ripe,Correct
ripe_ripe4_crop_1.jpg,ripe4,ripe,ripe,Correct
ripe_ripe5_crop_0.jpg,ripe5,ripe,ripe,Correct
ripe_ripe6_crop_0.jpg,ripe6,ripe,ripe,Correct
ripe_ripe8_crop_0.jpg,ripe8,ripe,ripe,Correct
ripe_ripe9_crop_0.jpg,ripe9,ripe,ripe,Correct
rotten_rotten0_crop_0.jpg,rotten0,rotten,rotten,Correct
rotten_rotten1_crop_0.jpg,rotten1,rotten,rotten,Correct
rotten_rotten12_crop_0.jpg,rotten12,rotten,rotten,Correct
rotten_rotten13_crop_0.jpg,rotten13,rotten,rotten,Correct
rotten_rotten15_crop_0.jpg,rotten15,rotten,rotten,Correct
rotten_rotten16_crop_0.jpg,rotten16,rotten,rotten,Correct
rotten_rotten19_crop_0.jpg,rotten19,rotten,rotten,Correct
rotten_rotten2_crop_0.jpg,rotten2,rotten,rotten,Correct
rotten_rotten20_crop_0.jpg,rotten20,rotten,rotten,Correct
rotten_rotten21_crop_0.jpg,rotten21,rotten,rotten,Correct
rotten_rotten22_crop_0.jpg,rotten22,rotten,rotten,Correct
rotten_rotten25_crop_0.jpg,rotten25,rotten,rotten,Correct
rotten_rotten26_crop_0.jpg,rotten26,rotten,rotten,Correct
rotten_rotten27_crop_0.jpg,rotten27,rotten,rotten,Correct
rotten_rotten27_crop_1.jpg,rotten27,rotten,rotten,Correct
rotten_rotten28_crop_0.jpg,rotten28,rotten,rotten,Correct
rotten_rotten29_crop_0.jpg,rotten29,rotten,rotten,Correct
rotten_rotten29_crop_1.jpg,rotten29,rotten,rotten,Correct
rotten_rotten30_crop_0.jpg,rotten30,rotten,rotten,Correct
rotten_rotten31_crop_0.jpg,rotten31,rotten,rotten,Correct
rotten_rotten32_crop_0.jpg,rotten32,rotten,rotten,Correct
rotten_rotten33_crop_0.jpg,rotten33,rotten,rotten,Correct
rotten_rotten4_crop_0.jpg,rotten4,rotten,rotten,Correct
rotten_rotten8_crop_0.jpg,rotten8,rotten,rotten,Correct
rotten_rotten9_crop_0.jpg,rotten9,rotten,rotten,Correct
unripe_unripe0_crop_0.jpg,unripe0,unripe,unripe,Correct
unripe_unripe1_crop_0.jpg,unripe1,unripe,unripe,Correct
unripe_unripe10_crop_0.jpg,unripe10,unripe,unripe,Correct
unripe_unripe11_crop_0.jpg,unripe11,unripe,unripe,Correct
unripe_unripe12_crop_0.jpg,unripe12,unripe,unripe,Correct
unripe_unripe13_crop_0.jpg,unripe13,unripe,unripe,Correct
unripe_unripe14_crop_0.jpg,unripe14,unripe,unripe,Correct
unripe_unripe15_crop_0.jpg,unripe15,unripe,unripe,Correct
unripe_unripe16_crop_0.jpg,unripe16,unripe,unripe,Correct
unripe_unripe17_crop_0.jpg,unripe17,unripe,unripe,Correct
unripe_unripe18_crop_0.jpg,unripe18,unripe,unripe,Correct
unripe_unripe19_crop_0.jpg,unripe19,unripe,unripe,Correct
unripe_unripe2_crop_0.jpg,unripe2,unripe,unripe,Correct
unripe_unripe20_crop_0.jpg,unripe20,unripe,unripe,Correct
unripe_unripe22_crop_0.jpg,unripe22,unripe,unripe,Correct
unripe_unripe23_crop_0.jpg,unripe23,unripe,unripe,Correct
unripe_unripe24_crop_0.jpg,unripe24,unripe,unripe,Correct
unripe_unripe3_crop_0.jpg,unripe3,unripe,unripe,Correct
unripe_unripe4_crop_0.jpg,unripe4,unripe,unripe,Correct
unripe_unripe5_crop_0.jpg,unripe5,unripe,unripe,Correct
unripe_unripe6_crop_0.jpg,unripe6,unripe,unripe,Correct
unripe_unripe7_crop_0.jpg,unripe7,unripe,unripe,Correct
unripe_unripe8_crop_0.jpg,unripe8,unripe,unripe,Correct
unripe_unripe9_crop_0.jpg,unripe9,unripe,unripe,Correct
